GPS Date & Time,# of Sats,HDOP,Latitude,Longitude,Altitude(m),Speed(m/s),Heading(Deg),Marker,Value
2021/06/25-16:45:37:60,4,5.41,40.06109416666666,-105.20836133333333,1593.8,2.2805322222222224,142.38,Data Log,True
2021/06/25-16:45:37:70,4,5.41,40.06109416666666,-105.20836133333333,1593.7,2.2805322222222224,142.38,,
2021/06/25-16:45:37:80,4,5.41,40.061093166666666,-105.2083595,1593.7,2.271786666666667,140.65,,
2021/06/25-16:45:37:90,4,5.41,40.06109183333333,-105.20835749999999,1593.8,2.2748733333333333,139.45,RP,
2021/06/25-16:45:38:00,4,5.41,40.061091000000005,-105.20835600000001,1593.9,2.246578888888889,138.7,,
2021/06/25-16:45:38:10,4,5.41,40.06109033333333,-105.208355,1593.9,2.1961633333333337,138.15,,
2021/06/25-16:45:38:20,4,5.41,40.0610895,-105.20835433333332,1593.9,2.1616955555555557,137.72,,
2021/06/25-16:45:38:30,4,5.41,40.06108916666667,-105.20835383333333,1594.0,2.087615555555556,138.25,,
2021/06/25-16:45:38:40,4,5.41,40.06108883333333,-105.20835316666668,1594.2,2.0315411111111112,138.46,,
2021/06/25-16:45:38:50,4,5.41,40.06108766666667,-105.20835183333332,1594.3,2.015078888888889,139.52,,
2021/06/25-16:45:38:60,4,5.41,40.06108583333333,-105.2083505,1594.2,2.0382288888888893,140.79,,
2021/06/25-16:45:38:70,4,5.41,40.0610855,-105.20834833333332,1594.3,2.02331,138.93,,
2021/06/25-16:45:38:80,4,5.41,40.061085166666665,-105.20834716666668,1594.4,1.9620911111111112,138.34,,
2021/06/25-16:45:38:90,4,5.41,40.06108466666667,-105.20834583333333,1594.5,1.9620911111111112,136.34,,
2021/06/25-16:45:39:00,4,5.41,40.061083333333336,-105.20834500000001,1594.5,1.9641488888888892,136.53,,
2021/06/25-16:45:39:10,4,5.41,40.0610825,-105.20834383333334,1594.5,1.9564322222222224,136.08,,
2021/06/25-16:45:39:20,4,5.41,40.061082000000006,-105.20834333333332,1594.6,1.9147622222222223,136.09,,
2021/06/25-16:45:39:30,4,5.41,40.0610815,-105.20834349999998,1594.6,1.8581733333333335,137.64,,
2021/06/25-16:45:39:40,4,5.41,40.06108016666667,-105.208344,1594.5,1.8556011111111113,140.34,,
2021/06/25-16:45:39:50,4,5.41,40.06107933333333,-105.20834383333334,1594.4,1.84274,141.43,,
2021/06/25-16:45:39:60,4,5.41,40.061079666666664,-105.20834366666668,1594.5,1.7403655555555557,142.72,,
2021/06/25-16:45:39:70,4,5.41,40.061079166666666,-105.20834383333334,1594.4,1.7084700000000002,143.54,,
2021/06/25-16:45:39:80,4,5.41,40.06108016666667,-105.20834533333333,1594.5,1.5772866666666667,144.88,,
2021/06/25-16:45:39:90,4,5.41,40.061080999999994,-105.20834633333334,1594.6,1.466681111111111,146.32,,
2021/06/25-16:45:40:00,4,5.41,40.06108016666667,-105.20834566666666,1594.5,1.4517622222222224,147.36,,
2021/06/25-16:45:40:10,4,5.41,40.061079166666666,-105.20834433333333,1594.5,1.4553633333333336,147.84,,
2021/06/25-16:45:40:20,4,5.41,40.061079666666664,-105.20834533333333,1594.4,1.3802544444444445,148.34,,
2021/06/25-16:45:40:30,4,5.41,40.0610805,-105.20834616666667,1594.5,1.2830244444444447,148.85,,
2021/06/25-16:45:40:40,4,5.41,40.061080999999994,-105.20834616666667,1594.6,1.2027711111111112,148.89,,
2021/06/25-16:45:40:50,4,5.41,40.06108183333333,-105.20834583333333,1594.4,1.0942233333333333,147.39,,
2021/06/25-16:45:40:60,4,5.41,40.06108233333334,-105.20834600000002,1594.3,1.0083111111111112,146.51,,
2021/06/25-16:45:40:70,4,5.41,40.06108233333334,-105.20834616666667,1594.2,0.9892766666666668,144.52,,
2021/06/25-16:45:40:80,4,5.41,40.061082166666665,-105.20834683333332,1594.3,1.0083111111111112,144.79,,
2021/06/25-16:45:40:90,4,5.41,40.061083833333335,-105.20834816666665,1594.2,0.8740411111111112,142.74,,
2021/06/25-16:45:41:00,4,5.41,40.06108483333333,-105.20835000000001,1594.2,0.8200244444444446,143.9,,
2021/06/25-16:45:41:10,4,5.41,40.06108566666667,-105.20835216666667,1594.0,0.7706377777777779,145.8,,
2021/06/25-16:45:41:20,4,5.41,40.06108666666667,-105.208354,1593.9,0.704788888888889,147.37,,
2021/06/25-16:45:41:30,4,5.41,40.06108766666667,-105.208355,1593.8,0.6409977777777778,145.88,,
2021/06/25-16:45:41:40,4,5.41,40.06108866666667,-105.2083565,1593.9,0.5792644444444445,145.88,,
2021/06/25-16:45:41:50,4,5.41,40.06109083333333,-105.20835916666668,1593.7,0.43985,145.88,,
2021/06/25-16:45:41:60,4,5.41,40.06109066666667,-105.20836,1593.5,0.4624855555555556,145.88,,
2021/06/25-16:45:41:70,4,5.41,40.06108966666667,-105.20835883333332,1593.6,0.5273055555555556,145.88,,
2021/06/25-16:45:41:80,4,5.41,40.0610885,-105.20835733333334,1593.5,0.5550855555555556,145.88,,
2021/06/25-16:45:41:90,4,5.41,40.061089333333335,-105.20835883333332,1593.3,0.4738033333333334,145.88,,
2021/06/25-16:45:42:00,4,5.41,40.061089833333334,-105.20835966666667,1593.3,0.4825488888888889,145.88,,
2021/06/25-16:45:42:10,4,5.41,40.061090166666666,-105.20836016666665,1593.3,0.49592444444444445,145.88,,
2021/06/25-16:45:42:20,4,5.41,40.06109033333333,-105.20836050000001,1593.2,0.47534666666666675,145.88,,
2021/06/25-16:45:42:30,4,5.41,40.061089,-105.20835916666668,1593.1,0.5684611111111112,145.88,,
2021/06/25-16:45:42:40,4,5.41,40.06108733333333,-105.208357,1593.1,0.7001588888888889,141.65,,
2021/06/25-16:45:42:50,4,5.41,40.06108583333333,-105.20835549999998,1593.0,0.7896722222222222,140.39,,
2021/06/25-16:45:42:60,4,5.41,40.061085000000006,-105.20835450000001,1593.0,0.8400877777777779,140.64,,
2021/06/25-16:45:42:70,4,5.41,40.06108616666667,-105.20835566666668,1592.9,0.7382277777777778,139.45,,
2021/06/25-16:45:42:80,4,5.41,40.061086833333334,-105.20835716666667,1592.7,0.7068466666666667,140.14,,
2021/06/25-16:45:42:90,4,5.41,40.06108783333333,-105.2083595,1592.5,0.6600322222222222,143.13,,
2021/06/25-16:45:43:00,4,5.41,40.06108866666667,-105.20836183333334,1592.2,0.6152755555555556,143.13,,
2021/06/25-16:45:43:10,4,5.41,40.061089833333334,-105.20836400000002,1592.1,0.5838944444444445,143.13,,
2021/06/25-16:45:43:20,4,5.42,40.061092,-105.20836683333333,1591.9,0.43470555555555557,143.13,,
2021/06/25-16:45:43:30,4,5.42,40.06109483333333,-105.20837066666667,1591.8,0.31278222222222224,143.13,,
2021/06/25-16:45:43:40,4,5.42,40.06109666666667,-105.20837316666666,1591.8,0.27419888888888894,143.13,,
2021/06/25-16:45:43:50,4,5.42,40.061099166666665,-105.20837633333333,1591.8,0.21915333333333334,143.13,,
2021/06/25-16:45:43:60,4,5.42,40.0611015,-105.208379,1591.8,0.15742,143.13,,
2021/06/25-16:45:43:70,4,5.42,40.061103333333335,-105.20838166666665,1591.7,0.09980222222222224,143.13,,
2021/06/25-16:45:43:80,4,5.42,40.061105,-105.20838499999999,1591.4,0.16513666666666668,143.13,,
2021/06/25-16:45:43:90,4,5.42,40.061104666666665,-105.20838549999999,1591.2,0.19137333333333334,143.13,,
2021/06/25-16:45:44:00,4,5.42,40.061104666666665,-105.20838649999999,1591.0,0.2633955555555556,143.13,,
2021/06/25-16:45:44:10,4,5.42,40.061104500000006,-105.208387,1590.8,0.2556788888888889,143.13,,
2021/06/25-16:45:44:20,4,5.42,40.06110483333334,-105.20838816666668,1590.7,0.2772855555555556,143.13,,
2021/06/25-16:45:44:30,4,5.42,40.0611065,-105.20838983333333,1590.7,0.29580555555555554,143.13,,
2021/06/25-16:45:44:40,4,5.42,40.06110833333333,-105.20839149999999,1590.8,0.28088666666666673,143.13,,
2021/06/25-16:45:44:50,4,5.42,40.06111,-105.20839333333333,1590.8,0.3179266666666667,143.13,,
2021/06/25-16:45:44:60,4,5.42,40.061111,-105.2083945,1590.8,0.36937111111111115,143.13,,
2021/06/25-16:45:44:70,4,5.42,40.06111116666667,-105.2083945,1590.9,0.3904633333333334,143.13,,
2021/06/25-16:45:44:80,4,5.42,40.06111333333333,-105.20839666666667,1590.9,0.3827466666666667,143.13,,
2021/06/25-16:45:44:90,4,5.42,40.06111616666667,-105.2084005,1590.8,0.51856,143.13,,
2021/06/25-16:45:45:00,4,5.42,40.061118666666665,-105.20840349999999,1590.8,0.5525133333333334,143.13,,
2021/06/25-16:45:45:10,4,5.42,40.0611205,-105.20840600000001,1590.8,0.6060155555555555,143.13,,
2021/06/25-16:45:45:20,4,5.42,40.06112233333333,-105.2084085,1590.8,0.6389400000000001,143.13,,
2021/06/25-16:45:45:30,4,5.42,40.061122833333336,-105.20841,1590.6,0.6291655555555556,143.13,,
2021/06/25-16:45:45:40,4,5.42,40.06112683333333,-105.20841616666667,1590.4,0.7382277777777778,221.91,,
2021/06/25-16:45:45:50,4,5.42,40.06112983333333,-105.20842016666666,1590.4,0.7958455555555556,271.25,,
2021/06/25-16:45:45:60,4,5.42,40.0611305,-105.20842066666667,1590.4,0.7840133333333335,287.9,,
2021/06/25-16:45:45:70,4,5.42,40.061131,-105.20842133333332,1590.4,0.7773255555555556,294.79,,
2021/06/25-16:45:45:80,4,5.42,40.06113083333333,-105.20842133333332,1590.3,0.7140488888888888,301.29,,
2021/06/25-16:45:45:90,4,5.42,40.061131833333334,-105.20842333333333,1590.2,0.7526322222222224,303.55,,
2021/06/25-16:45:46:00,4,5.42,40.0611325,-105.20842433333334,1590.1,0.7083900000000001,303.42,,
2021/06/25-16:45:46:10,4,5.42,40.06113266666667,-105.20842466666666,1590.2,0.6790666666666667,303.42,,
2021/06/25-16:45:46:20,4,5.42,40.061133166666664,-105.20842466666666,1590.2,0.649228888888889,304.35,,
2021/06/25-16:45:46:30,4,5.42,40.0611325,-105.20842316666668,1590.3,0.5941833333333334,304.35,,
2021/06/25-16:45:46:40,4,5.42,40.0611315,-105.20842149999999,1590.3,0.5247333333333334,304.35,,
2021/06/25-16:45:46:50,4,5.42,40.06112816666667,-105.20841716666668,1590.3,0.37760222222222223,304.35,,
2021/06/25-16:45:46:60,4,5.42,40.06112566666666,-105.20841383333332,1590.3,0.2315,304.35,,
2021/06/25-16:45:46:70,4,5.42,40.061122999999995,-105.20841033333333,1590.2,0.12243777777777778,304.35,,
2021/06/25-16:45:46:80,4,5.42,40.061119833333336,-105.20840716666667,1590.0,0.0982588888888889,304.35,,
2021/06/25-16:45:46:90,4,5.42,40.0611185,-105.20840633333334,1589.7,0.19291666666666668,304.35,,
2021/06/25-16:45:47:00,4,5.42,40.0611185,-105.20840733333334,1589.5,0.23561555555555558,304.35,,
2021/06/25-16:45:47:10,4,5.42,40.06112066666667,-105.20841049999999,1589.4,0.2057777777777778,304.35,,
2021/06/25-16:45:47:20,4,5.42,40.06112533333333,-105.20841649999998,1589.3,0.08951333333333333,304.35,,
2021/06/25-16:45:47:30,4,5.42,40.061127000000006,-105.20841999999999,1589.2,0.06945000000000001,304.35,,
2021/06/25-16:45:47:40,4,5.42,40.061128833333335,-105.20842166666668,1589.2,0.008745555555555557,304.35,,
2021/06/25-16:45:47:50,4,5.42,40.06113066666667,-105.2084235,1589.2,0.07665222222222222,304.35,,
2021/06/25-16:45:47:60,4,5.42,40.061131,-105.20842383333333,1589.1,0.09774444444444445,304.35,,
2021/06/25-16:45:47:70,4,5.42,40.0611295,-105.2084235,1588.9,0.1471311111111111,304.35,,
2021/06/25-16:45:47:80,4,5.42,40.06112966666667,-105.20842433333334,1588.7,0.20372,304.35,,
2021/06/25-16:45:47:90,4,5.42,40.061130166666665,-105.2084245,1588.7,0.1785122222222222,304.35,,
2021/06/25-16:45:48:00,4,5.42,40.061130000000006,-105.20842316666668,1588.8,0.10597555555555556,304.35,,
2021/06/25-16:45:48:10,4,5.42,40.06112983333333,-105.20842333333333,1588.7,0.13787111111111114,304.35,,
2021/06/25-16:45:48:20,4,5.42,40.0611305,-105.20842433333334,1588.6,0.12912555555555558,304.35,,
2021/06/25-16:45:48:30,4,5.42,40.06113233333333,-105.20842666666667,1588.6,0.10134555555555556,304.35,,
2021/06/25-16:45:48:40,4,5.42,40.061135166666666,-105.2084305,1588.6,0.10031666666666668,304.35,,
2021/06/25-16:45:48:50,4,5.42,40.06113716666667,-105.20843333333332,1588.5,0.08797,304.35,,
2021/06/25-16:45:48:60,4,5.42,40.061137333333335,-105.20843466666665,1588.4,0.15433333333333335,304.35,,
2021/06/25-16:45:48:70,4,5.42,40.06113716666667,-105.20843500000001,1588.3,0.25619333333333333,304.35,,
2021/06/25-16:45:48:80,4,5.42,40.061138166666666,-105.20843616666667,1588.2,0.24590444444444445,304.35,,
2021/06/25-16:45:48:90,4,5.42,40.061139499999996,-105.20843716666668,1588.3,0.21246555555555555,304.35,,
2021/06/25-16:45:49:00,4,5.42,40.06114083333333,-105.2084375,1588.3,0.1785122222222222,304.35,,
2021/06/25-16:45:49:10,4,5.42,40.06114066666667,-105.2084375,1588.2,0.15330444444444444,304.35,,
2021/06/25-16:45:49:20,4,5.42,40.061141166666665,-105.20843850000001,1588.1,0.23510111111111115,304.35,,
2021/06/25-16:45:49:30,4,5.42,40.061141166666665,-105.20843866666668,1588.0,0.19754666666666668,304.35,,
2021/06/25-16:45:49:40,4,5.42,40.06114133333333,-105.20843916666666,1587.9,0.19600333333333336,304.35,,
2021/06/25-16:45:49:50,4,5.42,40.061142000000004,-105.20844033333333,1587.8,0.20526333333333335,304.35,,
2021/06/25-16:45:49:60,4,5.42,40.061143666666666,-105.20844233333334,1587.7,0.17285333333333336,304.35,,
2021/06/25-16:45:49:70,4,5.42,40.06114766666667,-105.20844816666667,1587.6,0.2788288888888889,304.35,,
2021/06/25-16:45:49:80,4,5.43,40.06115116666667,-105.20845016666665,1587.7,0.23715888888888892,304.35,,
2021/06/25-16:45:49:90,4,5.43,40.061152,-105.20845066666668,1587.7,0.25825111111111115,304.35,,
2021/06/25-16:45:50:00,4,5.43,40.061152500000006,-105.20845183333334,1587.5,0.24590444444444445,304.35,LC,2
2021/06/25-16:45:50:10,5,5.43,40.061143,-105.20843783333333,1587.9,0.18931555555555557,304.35,,
2021/06/25-16:45:50:20,5,2.14,40.06114283333333,-105.2084375,1587.9,0.17388222222222224,304.35,,
2021/06/25-16:45:50:30,5,2.14,40.0611435,-105.20843716666668,1588.1,0.10186,304.35,,
2021/06/25-16:45:50:40,5,2.14,40.061144166666665,-105.20843683333332,1588.2,0.05298777777777778,304.35,,
2021/06/25-16:45:50:50,5,2.14,40.061143666666666,-105.20843516666667,1588.2,0.03498222222222223,304.35,,
2021/06/25-16:45:50:60,5,2.14,40.06114183333333,-105.20843333333332,1588.2,0.10957666666666667,304.35,,
2021/06/25-16:45:50:70,5,2.14,40.06113883333333,-105.20843016666667,1588.2,0.22069666666666668,304.35,,
2021/06/25-16:45:50:80,5,2.14,40.06113933333334,-105.20842983333333,1588.3,0.16925222222222225,304.35,,
2021/06/25-16:45:50:90,5,2.14,40.06113916666666,-105.2084285,1588.5,0.16359333333333334,304.35,,
2021/06/25-16:45:51:00,5,2.14,40.06113933333334,-105.20842716666667,1588.6,0.1538188888888889,304.35,,
2021/06/25-16:45:51:10,5,2.14,40.06114,-105.20842666666667,1588.8,0.11112000000000001,304.35,,
2021/06/25-16:45:51:20,5,2.14,40.06113966666667,-105.20842566666667,1588.8,0.07819555555555556,304.35,,
2021/06/25-16:45:51:30,5,2.14,40.06113933333334,-105.20842483333332,1588.8,0.08385444444444445,304.35,,
